PersonName,Years,KidsNumber,CityOfResidence,VisitedCitiesInLastYearNumber
Margarita Alcázar Gisbert,33,3,香取郡神崎町,6
Janet Mcdaniel,26,0,Aliminusa,1
Gregory Vaughn,40,1,Port Michaelland,5
石井 篤司,37,4,Alanno Scalo,2
อลิษา ถนัดรบ,37,2,Busca,7
Jo Oneill,34,5,สมุทรปราการ,1
吉田 美加子,39,0,ยะลา,9
Angela Christensen,38,6,Riverastad,3
ปุณณรัตน์ นามเสวตร,40,0,横浜市泉区,5
Charo Soria Patiño,32,2,長生郡長南町,9
山田 直人,21,0,Guipúzcoa,9
วันชนก นิษประปัญจ์,39,2,ภูเก็ต,1
David Smith,29,6,Valli,4
คมคาย เธียรายัน,23,6,Rubano,8
María Del Carmen Badía Garmendia,33,0,Cantabria,8
Jennifer Lawson,30,2,Arzano,2
Imelda Galván Egea,37,5,Huesca,2
Filomena Palau Garmendia,19,6,Moneglia,6
Olegario Río,30,2,Ciudad,1
คมกฤชญ์ ตัณฑนุช,27,0,Vizcaya,3
Alfonso Sotelo Redondo,35,1,นครสวรรค์,9
中川 里佳,23,4,Belvedere Ostrense,2
Taylor Garcia,32,3,安房郡鋸南町,2
จณิสตา ถิรสวัสดิ์,30,6,Li Celli,6
Donna Mazzi-Righi,40,0,Alicante,4
山本 幹,32,5,Las Palmas,9
Dominic Braun,34,2,Patrickmouth,2
César Uriarte Oliveras,22,4,Zoeborough,9
Edoardo Pontecorvo,28,3,พัทยา,8
Rosaria Puccini,22,3,Port Jennifer,10
Gioele Letta-Pisano,24,2,川崎市宮前区,5
Thomas Henderson,21,1,Cameriano,7
Barbara Daniels,32,2,富里市,7
เพ็ญพรรษา นิลสุวรรณ์,30,5,Huelva,8
พชรภรณ์ แต้กุล,22,6,Frederickburgh,5
木村 治,36,6,อุบลราชธานี,3
伊藤 稔,39,2,Thompsonbury,7
กรพนธ์ ดิสกะประกาย,21,4,夷隅郡御宿町,4
Eligio Alegria,37,0,横浜市旭区,4
Melania Fattori-Odescalchi,22,1,Grumolo Pedemonte,3
